Complaint_ID,User_Name,Location,Input_Type,Complaint_Text,Category,Severity,Status,Date,Accuracy
CMP800000,User_11244,Salem,Call Center,The officer in charge of the ration card section is always absent from his seat.,Government Service Delivery Issues,Low,Open,2025-05-26,0.95
CMP800001,User_78752,Salem,Web Portal,"Street dogs are chasing bikers at night, leading to serious road accidents.",Public Safety & Law Issues,Low,Resolved,2026-01-11,0.95
CMP800002,User_96990,Kanchipuram,Call Center,Mosquitoes are breeding heavily in the stagnant sewage water near our apartment.,Garbage & Sanitation Issues,High,In Progress,2025-10-13,0.95
CMP800003,User_16755,Tirunelveli,Call Center,"Unauthorized motor pumps are being used by some residents, affecting the supply to others.",Water Supply Issues,High,Resolved,2025-09-22,0.95
CMP800004,User_45297,Madurai,Web Portal,There is a terrible stench in the area due to animal waste dumped in the open.,Garbage & Sanitation Issues,Low,Open,2026-01-09,0.95
CMP800005,User_56949,Madurai,Web Portal,Doctors at the government clinic are referring patients to private pharmacies for profit.,Health & Medical Issues,Medium,In Progress,2025-12-11,0.95
CMP800006,User_74487,Coimbatore,Web Portal,"A major pipeline burst has occurred near the main junction, causing heavy water wastage.",Water Supply Issues,High,Resolved,2025-07-27,0.95
CMP800007,User_13027,Madurai,Mobile App,The local cemetery is overgrown with weeds and lacks proper fencing.,General Administrative Department,Low,Open,2026-01-30,0.95
CMP800008,User_74828,Thanjavur,Mobile App,There is no clean drinking water facility for the students in the school building.,Education & School Issues,Medium,Resolved,2025-02-26,0.95
CMP800009,User_24538,Coimbatore,Mobile App,Mosquitoes are breeding heavily in the stagnant sewage water near our apartment.,Garbage & Sanitation Issues,Low,In Progress,2025-05-23,0.95
CMP800010,User_76725,Madurai,Call Center,Permission is requested for conducting a religious procession on the main street.,General Administrative Department,High,Resolved,2026-01-23,0.95
CMP800011,User_44999,Salem,Web Portal,There has been a total power failure in the entire street for the last five hours.,Electricity Issues,High,Resolved,2025-03-03,0.95
CMP800012,User_83429,Kanchipuram,Web Portal,Frequent unannounced power cuts are happening every two hours throughout the day.,Electricity Issues,Low,Open,2026-01-18,0.95
CMP800013,User_98486,Erode,Web Portal,"The local water storage tank has not been cleaned in several months, posing a health risk.",Water Supply Issues,Low,In Progress,2025-07-04,0.95
CMP800014,User_54359,Madurai,Mobile App,The local cemetery is overgrown with weeds and lacks proper fencing.,General Administrative Department,Medium,In Progress,2025-11-14,0.95
